nucleus_id,split
109255,train
116028,train
152805,train
152819,train
152863,train
152877,train
152883,train
152891,train
152957,train
152969,train
152970,train
152972,train
152986,train
152992,train
152995,train
153025,train
153128,train
153147,train
153157,train
153230,train
153260,train
153275,train
153342,train
153498,train
153595,train
153624,train
153856,train
154328,train
154378,train
154451,train
154454,train
154463,train
154465,train
154506,train
154544,train
154558,train
154560,train
154566,train
154572,train
154579,train
154590,train
154592,train
154604,train
154628,train
154632,train
154662,train
154663,train
154664,train
154666,train
154671,train
154672,train
154691,train
154694,train
154698,train
154704,train
154706,train
154713,train
154722,train
154749,train
154760,train
154764,train
154768,train
154772,train
154774,train
154784,train
154795,train
154797,train
154848,train
154855,train
154875,train
154911,train
154960,train
155039,train
155108,train
155114,train
155119,train
155147,train
155281,train
155293,train
155309,train
155417,train
155492,train
155512,train
155650,train
156469,train
156472,train
156519,train
156543,train
156605,train
156606,train
156613,train
156616,train
156637,train
156649,train
156797,train
156908,train
156916,train
156918,train
157029,train
157056,train
106431,val
106436,val
109157,val
109717,val
115907,val
152675,val
152685,val
152985,val
153331,val
153364,val
153559,val
154426,val
154436,val
154461,val
154545,val
154575,val
154635,val
154643,val
154680,val
154681,val
154699,val
154799,val
154836,val
154868,val
155008,val
155406,val
155502,val
155775,val
156458,val
156466,val
156560,val
156625,val
156801,val
156811,val
156919,val
157031,val
157047,val
157063,val
158656,val
158827,val
158852,val
158901,val
158927,val
158942,val
158952,val
159091,val
159116,val
159266,val
159685,val
159698,val
161126,val
161384,val
161572,val
161719,val
164098,val
164598,val
188138,val
188177,val
188179,val
188217,val
188257,val
188283,val
188309,val
188352,val
188385,val
188427,val
188496,val
188516,val
188542,val
188553,val
188646,val
188745,val
188890,val
188950,val
188963,val
189019,val
189209,val
189300,val
189773,val
189855,val
189871,val
189875,val
189879,val
189881,val
189914,val
189921,val
189922,val
190032,val
190034,val
190072,val
190113,val
190126,val
190143,val
190156,val
190173,val
190232,val
190243,val
190427,val
190463,val
190483,val
152752,test
152853,test
152870,test
153085,test
153090,test
153155,test
153316,test
153445,test
153535,test
154438,test
154576,test
154583,test
154596,test
154610,test
154644,test
154647,test
154756,test
154771,test
154889,test
154904,test
154905,test
154993,test
155019,test
155182,test
156208,test
156614,test
156631,test
156648,test
156929,test
156936,test
156949,test
157057,test
157059,test
157813,test
158499,test
158720,test
158781,test
158803,test
158810,test
158831,test
158851,test
158928,test
158997,test
159214,test
159219,test
159236,test
159263,test
159311,test
159450,test
159554,test
161284,test
161402,test
161429,test
161439,test
161445,test
161700,test
164122,test
164570,test
166943,test
187353,test
187542,test
188086,test
188109,test
188222,test
188232,test
188315,test
188349,test
188391,test
188394,test
188411,test
188495,test
188561,test
188582,test
188659,test
188678,test
188754,test
188832,test
188873,test
188877,test
188903,test
188998,test
189136,test
189161,test
189163,test
189318,test
189672,test
189748,test
189750,test
189775,test
189782,test
189821,test
189853,test
189860,test
189869,test
189920,test
190016,test
190040,test
190073,test
190085,test
190103,test
