property,graph,model,seed,r2,pearson
gosi,microns,gnn,0,0.04016983509063721,0.20485949516296387
gosi,microns,degree_mlp,0,-0.008169054985046387,-0.013505073264241219
gosi,microns,features_mlp,0,0.06386458873748779,0.25295913219451904
gosi,microns,mean_null,0,-2.6702880859375e-05,-3.6577507245283414e-08
gosi,microns_rewired_null,gnn,0,0.046219587326049805,0.2191607505083084
gosi,microns_rewired_null,degree_mlp,0,-0.008697986602783203,-0.01890994980931282
gosi,microns_rewired_null,features_mlp,0,0.06386458873748779,0.25295913219451904
gosi,microns_rewired_null,mean_null,0,-2.6702880859375e-05,-3.6577507245283414e-08
gosi,microns,gnn,1,0.03382551670074463,0.19285230338573456
gosi,microns,degree_mlp,1,-0.010562539100646973,-0.017791032791137695
gosi,microns,features_mlp,1,0.04574507474899292,0.2200232744216919
gosi,microns,mean_null,1,-0.00020682811737060547,0.0
gosi,microns_rewired_null,gnn,1,0.03431963920593262,0.19251060485839844
gosi,microns_rewired_null,degree_mlp,1,-0.010968685150146484,-0.021660730242729187
gosi,microns_rewired_null,features_mlp,1,0.04574507474899292,0.2200232744216919
gosi,microns_rewired_null,mean_null,1,-0.00020682811737060547,0.0
gosi,microns,gnn,2,0.04990983009338379,0.22514164447784424
gosi,microns,degree_mlp,2,-0.01130986213684082,-0.033253468573093414
gosi,microns,features_mlp,2,0.07100725173950195,0.2693519592285156
gosi,microns,mean_null,2,-0.0010004043579101562,5.4949442329643716e-08
gosi,microns_rewired_null,gnn,2,0.046038269996643066,0.21603275835514069
gosi,microns_rewired_null,degree_mlp,2,-0.007681608200073242,-0.04494788497686386
gosi,microns_rewired_null,features_mlp,2,0.07100725173950195,0.2693519592285156
gosi,microns_rewired_null,mean_null,2,-0.0010004043579101562,5.4949442329643716e-08
osi,microns,gnn,0,0.0472182035446167,0.2193392813205719
osi,microns,degree_mlp,0,-0.008375167846679688,-0.021014884114265442
osi,microns,features_mlp,0,0.06055331230163574,0.24643343687057495
osi,microns,mean_null,0,-8.177757263183594e-05,2.2749304662283976e-07
osi,microns_rewired_null,gnn,0,0.05021655559539795,0.22538501024246216
osi,microns_rewired_null,degree_mlp,0,-0.00900125503540039,-0.028029432520270348
osi,microns_rewired_null,features_mlp,0,0.06055331230163574,0.24643343687057495
osi,microns_rewired_null,mean_null,0,-8.177757263183594e-05,2.2749304662283976e-07
osi,microns,gnn,1,0.042136192321777344,0.20827139914035797
osi,microns,degree_mlp,1,-0.029486656188964844,-0.016118481755256653
osi,microns,features_mlp,1,0.04817330837249756,0.2242557406425476
osi,microns,mean_null,1,-0.00018513202667236328,4.847981216471453e-08
osi,microns_rewired_null,gnn,1,0.04091459512710571,0.20360848307609558
osi,microns_rewired_null,degree_mlp,1,-0.014144301414489746,-0.03250116482377052
osi,microns_rewired_null,features_mlp,1,0.04817330837249756,0.2242557406425476
osi,microns_rewired_null,mean_null,1,-0.00018513202667236328,4.847981216471453e-08
osi,microns,gnn,2,0.05170142650604248,0.22813864052295685
osi,microns,degree_mlp,2,-0.007115840911865234,-0.028962379321455956
osi,microns,features_mlp,2,0.07088649272918701,0.2693457007408142
osi,microns,mean_null,2,-0.0007042884826660156,0.0
osi,microns_rewired_null,gnn,2,0.05450642108917236,0.23394863307476044
osi,microns_rewired_null,degree_mlp,2,-0.0075730085372924805,-0.04629826545715332
osi,microns_rewired_null,features_mlp,2,0.07088649272918701,0.2693457007408142
osi,microns_rewired_null,mean_null,2,-0.0007042884826660156,0.0
pref_ori,microns,gnn,0,0.04231232404708862,0.2080482840538025
pref_ori,microns,degree_mlp,0,-0.0022429227828979492,-0.019645558670163155
pref_ori,microns,features_mlp,0,0.06041508913040161,0.25368842482566833
pref_ori,microns,mean_null,0,-0.0012598037719726562,1.9967826503375363e-08
pref_ori,microns_rewired_null,gnn,0,0.04414570331573486,0.21040351688861847
pref_ori,microns_rewired_null,degree_mlp,0,-0.0019341707229614258,-0.02015974186360836
pref_ori,microns_rewired_null,features_mlp,0,0.06041508913040161,0.25368842482566833
pref_ori,microns_rewired_null,mean_null,0,-0.0012598037719726562,1.9967826503375363e-08
pref_ori,microns,gnn,1,0.03197199106216431,0.19193777441978455
pref_ori,microns,degree_mlp,1,0.0003960132598876953,0.035469215363264084
pref_ori,microns,features_mlp,1,0.048825085163116455,0.2309964895248413
pref_ori,microns,mean_null,1,-0.0007380247116088867,0.0
pref_ori,microns_rewired_null,gnn,1,0.023792028427124023,0.18330179154872894
pref_ori,microns_rewired_null,degree_mlp,1,0.00010824203491210938,0.029802903532981873
pref_ori,microns_rewired_null,features_mlp,1,0.048825085163116455,0.2309964895248413
pref_ori,microns_rewired_null,mean_null,1,-0.0007380247116088867,0.0
pref_ori,microns,gnn,2,0.025814592838287354,0.1775301992893219
pref_ori,microns,degree_mlp,2,-0.0008200407028198242,0.013699393719434738
pref_ori,microns,features_mlp,2,0.052438974380493164,0.2334495633840561
pref_ori,microns,mean_null,2,-0.0001544952392578125,-8.448628463497698e-09
pref_ori,microns_rewired_null,gnn,2,0.028576016426086426,0.1783246099948883
pref_ori,microns_rewired_null,degree_mlp,2,-0.0006608963012695312,0.01349650789052248
pref_ori,microns_rewired_null,features_mlp,2,0.052438974380493164,0.2334495633840561
pref_ori,microns_rewired_null,mean_null,2,-0.0001544952392578125,-8.448628463497698e-09
