property,graph,model,r2_mean,r2_std,r2_count,pearson_mean,pearson_std,pearson_count,r2_ci95,pearson_ci95
gosi,microns,degree_mlp,-0.01,0.0016,3,-0.0215,0.0104,3,0.0019,0.0118
gosi,microns,features_mlp,0.0602,0.013,3,0.2474,0.0251,3,0.0147,0.0284
gosi,microns,gnn,0.0413,0.0081,3,0.2076,0.0163,3,0.0092,0.0185
gosi,microns,mean_null,-0.0004,0.0005,3,0.0,0.0,3,0.0006,0.0
gosi,microns_rewired_null,degree_mlp,-0.0091,0.0017,3,-0.0285,0.0143,3,0.0019,0.0162
gosi,microns_rewired_null,features_mlp,0.0602,0.013,3,0.2474,0.0251,3,0.0147,0.0284
gosi,microns_rewired_null,gnn,0.0422,0.0068,3,0.2092,0.0146,3,0.0077,0.0165
gosi,microns_rewired_null,mean_null,-0.0004,0.0005,3,0.0,0.0,3,0.0006,0.0
osi,microns,degree_mlp,-0.015,0.0126,3,-0.022,0.0065,3,0.0142,0.0073
osi,microns,features_mlp,0.0599,0.0114,3,0.2467,0.0225,3,0.0129,0.0255
osi,microns,gnn,0.047,0.0048,3,0.2186,0.01,3,0.0054,0.0113
osi,microns,mean_null,-0.0003,0.0003,3,0.0,0.0,3,0.0004,0.0
osi,microns_rewired_null,degree_mlp,-0.0102,0.0035,3,-0.0356,0.0095,3,0.0039,0.0108
osi,microns_rewired_null,features_mlp,0.0599,0.0114,3,0.2467,0.0225,3,0.0129,0.0255
osi,microns_rewired_null,gnn,0.0485,0.0069,3,0.221,0.0156,3,0.0079,0.0177
osi,microns_rewired_null,mean_null,-0.0003,0.0003,3,0.0,0.0,3,0.0004,0.0
pref_ori,microns,degree_mlp,-0.0009,0.0013,3,0.0098,0.0278,3,0.0015,0.0314
pref_ori,microns,features_mlp,0.0539,0.0059,3,0.2394,0.0125,3,0.0067,0.0141
pref_ori,microns,gnn,0.0334,0.0083,3,0.1925,0.0153,3,0.0094,0.0173
pref_ori,microns,mean_null,-0.0007,0.0006,3,0.0,0.0,3,0.0006,0.0
pref_ori,microns_rewired_null,degree_mlp,-0.0008,0.001,3,0.0077,0.0255,3,0.0012,0.0288
pref_ori,microns_rewired_null,features_mlp,0.0539,0.0059,3,0.2394,0.0125,3,0.0067,0.0141
pref_ori,microns_rewired_null,gnn,0.0322,0.0106,3,0.1907,0.0173,3,0.012,0.0195
pref_ori,microns_rewired_null,mean_null,-0.0007,0.0006,3,0.0,0.0,3,0.0006,0.0
